sektor,tahun,bulan,jumlah
Perdagangan Besar Dan Eceran; Reparasi dan Perawatan Mobil dan Sepeda Motor,2012,Agustus,20721498
Perdagangan Besar Dan Eceran; Reparasi dan Perawatan Mobil dan Sepeda Motor,2013,Februari,21392607
Perdagangan Besar Dan Eceran; Reparasi dan Perawatan Mobil dan Sepeda Motor,2013,Agustus,20984131
Perdagangan Besar Dan Eceran; Reparasi dan Perawatan Mobil dan Sepeda Motor,2014,Februari,21959089
Perdagangan Besar Dan Eceran; Reparasi dan Perawatan Mobil dan Sepeda Motor,2014,Agustus,20937000
Perdagangan Besar Dan Eceran; Reparasi dan Perawatan Mobil dan Sepeda Motor,2015,Februari,22563346
Perdagangan Besar Dan Eceran; Reparasi dan Perawatan Mobil dan Sepeda Motor,2015,Agustus,21346857
Perdagangan Besar Dan Eceran; Reparasi dan Perawatan Mobil dan Sepeda Motor,2016,Februari,24148820
Perdagangan Besar Dan Eceran; Reparasi dan Perawatan Mobil dan Sepeda Motor,2016,Agustus,21554455
Perdagangan Besar Dan Eceran; Reparasi dan Perawatan Mobil dan Sepeda Motor,2017,Februari,23249255
Perdagangan Besar Dan Eceran; Reparasi dan Perawatan Mobil dan Sepeda Motor,2017,Agustus,22477345
Perdagangan Besar Dan Eceran; Reparasi dan Perawatan Mobil dan Sepeda Motor,2018,Februari,23906748
Perdagangan Besar Dan Eceran; Reparasi dan Perawatan Mobil dan Sepeda Motor,2018,Agustus,23460412
Perdagangan Besar Dan Eceran; Reparasi dan Perawatan Mobil dan Sepeda Motor,2019,Februari,24825952
Perdagangan Besar Dan Eceran; Reparasi dan Perawatan Mobil dan Sepeda Motor,2019,Agustus,24163931
Perdagangan Besar Dan Eceran; Reparasi dan Perawatan Mobil dan Sepeda Motor,2020,Februari,24773768
Perdagangan Besar Dan Eceran; Reparasi dan Perawatan Mobil dan Sepeda Motor,2020,Agustus,24702695
Perdagangan Besar Dan Eceran; Reparasi dan Perawatan Mobil dan Sepeda Motor,2021,Februari,25161613
Perdagangan Besar Dan Eceran; Reparasi dan Perawatan Mobil dan Sepeda Motor,2021,Agustus,25736110
Perdagangan Besar Dan Eceran; Reparasi dan Perawatan Mobil dan Sepeda Motor,2022,Februari,25800553
Perdagangan Besar Dan Eceran; Reparasi dan Perawatan Mobil dan Sepeda Motor,2022,Agustus,26193890
Perdagangan Besar Dan Eceran; Reparasi dan Perawatan Mobil dan Sepeda Motor,2023,Februari,2623881
Perdagangan Besar Dan Eceran; Reparasi dan Perawatan Mobil dan Sepeda Motor,2023,Agustus,26552658
Perdagangan Besar Dan Eceran; Reparasi dan Perawatan Mobil dan Sepeda Motor,2024,Februari,27085695
Perdagangan Besar Dan Eceran; Reparasi dan Perawatan Mobil dan Sepeda Motor,2024,Agustus,27328692
Transportasi dan Pergudangan,2011,Februari,4761920
Transportasi dan Pergudangan,2011,Agustus,4538206
Transportasi dan Pergudangan,2012,Februari,4701583
Transportasi dan Pergudangan,2012,Agustus,4589498
Transportasi dan Pergudangan,2013,Februari,4755145
Transportasi dan Pergudangan,2013,Agustus,4627820
Transportasi dan Pergudangan,2014,Februari,4737105
Transportasi dan Pergudangan,2014,Agustus,4610053
Transportasi dan Pergudangan,2015,Februari,4624232
Transportasi dan Pergudangan,2015,Agustus,4621212
Transportasi dan Pergudangan,2016,Februari,4714717
Transportasi dan Pergudangan,2016,Agustus,4970325
Transportasi dan Pergudangan,2017,Februari,4936126
Transportasi dan Pergudangan,2017,Agustus,5064247
Transportasi dan Pergudangan,2018,Februari,5181080
Transportasi dan Pergudangan,2018,Agustus,5491679
Transportasi dan Pergudangan,2019,Februari,5290506
Transportasi dan Pergudangan,2019,Agustus,5656314
Transportasi dan Pergudangan,2020,Februari,5509153
Transportasi dan Pergudangan,2020,Agustus,5591941
Transportasi dan Pergudangan,2021,Februari,5307649
Transportasi dan Pergudangan,2021,Agustus,5443654
Transportasi dan Pergudangan,2022,Februari,5710510
Transportasi dan Pergudangan,2022,Agustus,5805308
Transportasi dan Pergudangan,2023,Februari,5835171
Transportasi dan Pergudangan,2023,Agustus,6147477
Transportasi dan Pergudangan,2024,Februari,5900351
Transportasi dan Pergudangan,2024,Agustus,6199637
Penyediaan Akomodasi dan Penyediaan Makan Minum,2011,Februari,4425069
Penyediaan Akomodasi dan Penyediaan Makan Minum,2011,Agustus,3613492
Penyediaan Akomodasi dan Penyediaan Makan Minum,2012,Februari,4083379
Penyediaan Akomodasi dan Penyediaan Makan Minum,2012,Agustus,3780890
Penyediaan Akomodasi dan Penyediaan Makan Minum,2013,Februari,4764441
Penyediaan Akomodasi dan Penyediaan Makan Minum,2013,Agustus,4243775
Penyediaan Akomodasi dan Penyediaan Makan Minum,2014,Februari,4831023
Penyediaan Akomodasi dan Penyediaan Makan Minum,2014,Agustus,4817587
Penyediaan Akomodasi dan Penyediaan Makan Minum,2015,Februari,5095742
Penyediaan Akomodasi dan Penyediaan Makan Minum,2015,Agustus,5238142
Penyediaan Akomodasi dan Penyediaan Makan Minum,2016,Februari,5633520
Penyediaan Akomodasi dan Penyediaan Makan Minum,2016,Agustus,6251527
Penyediaan Akomodasi dan Penyediaan Makan Minum,2017,Februari,7082086
Penyediaan Akomodasi dan Penyediaan Makan Minum,2017,Agustus,6904745
Penyediaan Akomodasi dan Penyediaan Makan Minum,2018,Februari,8195757
Penyediaan Akomodasi dan Penyediaan Makan Minum,2018,Agustus,7766077
Penyediaan Akomodasi dan Penyediaan Makan Minum,2019,Februari,8894194
Penyediaan Akomodasi dan Penyediaan Makan Minum,2019,Agustus,8562226
Penyediaan Akomodasi dan Penyediaan Makan Minum,2020,Februari,9059188
Penyediaan Akomodasi dan Penyediaan Makan Minum,2020,Agustus,8543794
Penyediaan Akomodasi dan Penyediaan Makan Minum,2021,Februari,9167542
Penyediaan Akomodasi dan Penyediaan Makan Minum,2021,Agustus,9180340
Penyediaan Akomodasi dan Penyediaan Makan Minum,2022,Februari,9635433
Penyediaan Akomodasi dan Penyediaan Makan Minum,2022,Agustus,9607709
Penyediaan Akomodasi dan Penyediaan Makan Minum,2023,Februari,10146818
Penyediaan Akomodasi dan Penyediaan Makan Minum,2023,Agustus,10785255
Penyediaan Akomodasi dan Penyediaan Makan Minum,2024,Februari,11108827
Penyediaan Akomodasi dan Penyediaan Makan Minum,2024,Agustus,11270801
Informasi dan Komunikasi,2011,Februari,904607
Informasi dan Komunikasi,2011,Agustus,561860
Informasi dan Komunikasi,2012,Februari,548404
Informasi dan Komunikasi,2012,Agustus,536486
Informasi dan Komunikasi,2013,Februari,622741
Informasi dan Komunikasi,2013,Agustus,538348
Informasi dan Komunikasi,2014,Februari,671232
Informasi dan Komunikasi,2014,Agustus,570164
Informasi dan Komunikasi,2015,Februari,608620
